participant_id	age	sex	dominant_hand	source
sub-01	23	M	R	graz
sub-02	21	F	R	graz
sub-03	23	F	R	graz
sub-04	32	F	R	graz
sub-05	22	M	R	graz
sub-06	22	M	R	graz
sub-07	24	F	R	graz
sub-08	23	M	R	graz
sub-09	23	M	R	graz
sub-10	24	F	R	graz
sub-11	24	F	R	graz
sub-12	23	F	R	graz
sub-13	23	F	R	graz
sub-14	23	F	R	graz
sub-15	23	F	R	ssmvepmi
sub-16	23	M	R	ssmvepmi
sub-17	23	F	R	ssmvepmi
sub-18	23	F	R	ssmvepmi
sub-19	23	F	R	ssmvepmi
sub-20	24	F	R	ssmvepmi
sub-21	24	F	R	ssmvepmi
sub-22	23	F	R	ssmvepmi
sub-23	23	M	R	ssmvepmi
sub-24	24	M	R	ssmvepmi
sub-25	23	F	R	ssmvepmi
sub-26	23	F	R	ssmvepmi
sub-27	23	M	R	ssmvepmi
sub-28	22	M	R	ssmvepmi
sub-29	23	M	R	ssmvepmi
sub-30	23	F	R	ssmvepmi
sub-31	24	M	R	ssmvepmi
sub-32	23	F	R	ssmvepmi
sub-33	21	F	R	ssmvepmi
sub-34	22	M	R	ssmvepmi
sub-35	24	M	R	ssmvepmi
sub-36	20	F	R	ssmvepmi
sub-37	22	F	R	hybrid
sub-38	22	F	R	hybrid
sub-39	23	F	R	hybrid
sub-40	24	F	R	hybrid
sub-41	23	F	R	hybrid
sub-42	23	F	R	hybrid
sub-43	22	M	R	hybrid
sub-44	22	M	R	hybrid
sub-45	22	M	R	hybrid
sub-46	24	F	R	hybrid
sub-47	24	M	R	hybrid
sub-48	26	F	R	hybrid
sub-49	22	M	R	hybrid
sub-50	23	M	R	hybrid
sub-51	21	M	R	hybrid
sub-52	23	F	L	hybrid
sub-53	24	F	R	hybrid
sub-54	23	F	R	hybrid
sub-55	23	F	R	hybrid
sub-56	27	M	L	hybrid
sub-57	23	F	R	hybrid
sub-58	22	M	R	hybrid
sub-59	23	F	R	hybrid
sub-60	22	F	R	hybrid
sub-61	21	F	R	hybrid
sub-62	23	F	L	hybrid
sub-63	25	M	R	hybrid
sub-64	23	M	R	hybrid
sub-65	24	M	R	hybrid
sub-66	22	F	R	hybrid
sub-67	24	M	R	hybrid
sub-68	22	M	R	hybrid
sub-69	22	M	R	hybrid
sub-70	20	F	R	hybrid
sub-71	22	M	R	hybrid
sub-72	20	F	R	hybrid
sub-73	24	M	R	hybrid
sub-74	23	M	R	hybridonline
sub-75	23	F	R	hybridonline
sub-76	27	M	R	hybridonline
sub-77	24	F	R	hybridonline
sub-78	23	M	R	hybridonline
sub-79	25	F	R	hybridonline
sub-80	26	F	R	hybridonline
sub-81	24	F	R	hybridonline
sub-82	25	M	L	hybridonline
sub-83	24	F	R	hybridonline
sub-84	24	F	R	hybridonline
